Date,Adj Close,Close,High,Low,Open,Volume
31/07/2018,1701.790039,1701.790039,1709.579956,1695.589966,1704.040039,12263900
01/08/2018,1722.01001,1722.01001,1722.719971,1703.390015,1705.47998,12957800
02/08/2018,1708.280029,1708.280029,1718.410034,1700.689941,1716.329956,13442600
03/08/2018,1712.089966,1712.089966,1715.47998,1706.540039,1708.189941,12004300
06/08/2018,1696.23999,1696.23999,1721.050049,1694.97998,1718,13139800
07/08/2018,1707.26001,1707.26001,1710.75,1692.01001,1701.01001,12788600
08/08/2018,1721.640015,1721.640015,1723.5,1707.589966,1709.160034,13341900
09/08/2018,1722.47998,1722.47998,1729.420044,1716.900024,1722.689941,11956600
10/08/2018,1705.959961,1705.959961,1719.030029,1705.199951,1718.5,13789700
14/08/2018,1695.349976,1695.349976,1697.060059,1684,1692.77002,13085100
15/08/2018,1676.290039,1676.290039,1690.23999,1673.77002,1688.640015,14452700
16/08/2018,1680.959961,1680.959961,1682.430054,1664.900024,1673.329956,14191100
17/08/2018,1690.040039,1690.040039,1694.390015,1687.030029,1688.01001,11990300
20/08/2018,1701.420044,1701.420044,1705.329956,1693.900024,1698.969971,11129400
21/08/2018,1694.630005,1694.630005,1707.630005,1688.589966,1703.819946,12457600
22/08/2018,1698.300049,1698.300049,1705.910034,1695.339966,1695.939941,10511600
23/08/2018,1704.800049,1704.800049,1709.900024,1701.300049,1705.630005,9909500
24/08/2018,1703.819946,1703.819946,1704.589966,1697.589966,1701.310059,19837300
27/08/2018,1717.23999,1717.23999,1717.449951,1708.939941,1710.040039,10287700
28/08/2018,1718.150024,1718.150024,1728.219971,1716.569946,1723.959961,10236400
29/08/2018,1722.26001,1722.26001,1723.030029,1714.140015,1721.359985,9492800
30/08/2018,1720.430054,1720.430054,1730.650024,1720.410034,1726.280029,12026400
31/08/2018,1721.579956,1721.579956,1721.98999,1712.920044,1714.47998,13723800
03/09/2018,1721.209961,1721.209961,1726.300049,1718.869995,1721.939941,9891900
04/09/2018,1714.410034,1714.410034,1724.859985,1713.959961,1722.560059,12018200
05/09/2018,1686.369995,1686.369995,1711.369995,1685.949951,1709.26001,13137200
06/09/2018,1693.939941,1693.939941,1694.050049,1676.670044,1685.380005,13022500
07/09/2018,1689.48999,1689.48999,1694.560059,1683.579956,1687.949951,9746700
10/09/2018,1691.51001,1691.51001,1692.160034,1680.5,1686.780029,10781200
11/09/2018,1672.420044,1672.420044,1694.859985,1672.400024,1690.650024,12262500
12/09/2018,1679.390015,1679.390015,1680.540039,1666.069946,1672.040039,17223000
13/09/2018,1717.959961,1717.959961,1723.47998,1690.839966,1691.040039,18816600
14/09/2018,1722.209961,1722.209961,1727.829956,1718.109985,1724.829956,13604700
17/09/2018,1718.390015,1718.390015,1725.030029,1711.569946,1717.98999,13539500
18/09/2018,1744.420044,1744.420044,1748.76001,1716.75,1718.48999,18571700
19/09/2018,1749.800049,1749.800049,1762.719971,1747.469971,1749.630005,21990600
20/09/2018,1752.109985,1752.109985,1762.170044,1749.719971,1757.420044,20670300
21/09/2018,1756.119995,1756.119995,1766.619995,1753.319946,1758.800049,18372400
24/09/2018,1749.420044,1749.420044,1759.51001,1748.52002,1751.290039,12967800
25/09/2018,1747.98999,1747.98999,1756.849976,1745.72998,1753.660034,12142000
26/09/2018,1749.930054,1749.930054,1755.569946,1746.98999,1752.52002,11115100
27/09/2018,1752.949951,1752.949951,1753.160034,1735.579956,1751.699951,14091000
28/09/2018,1756.410034,1756.410034,1758.949951,1751.089966,1757.599976,11257100
01/10/2018,1760.469971,1760.469971,1765.060059,1757.73999,1762.300049,12268100
02/10/2018,1748.089966,1748.089966,1762.23999,1746.060059,1757.329956,15101500
03/10/2018,1741.959961,1741.959961,1757.430054,1741.959961,1753.790039,13811000
04/10/2018,1729.400024,1729.400024,1740.589966,1720.130005,1735.73999,14671800
05/10/2018,1720.52002,1720.52002,1732.359985,1718.119995,1726.410034,11973000
08/10/2018,1696.219971,1696.219971,1728.23999,1696.199951,1719.709961,17408500
09/10/2018,1696.920044,1696.920044,1708.719971,1690.920044,1699.98999,14114900
10/10/2018,1721.819946,1721.819946,1721.819946,1707.630005,1709.339966,12721900
11/10/2018,1682.890015,1682.890015,1688.630005,1673.589966,1679.27002,16931600
12/10/2018,1696.160034,1696.160034,1699.599976,1688.439941,1690.280029,10378900
16/10/2018,1697.869995,1697.869995,1701.569946,1689.829956,1697.560059,10042800
17/10/2018,1695.040039,1695.040039,1710.390015,1695.040039,1708.089966,11130100
18/10/2018,1682.910034,1682.910034,1694.670044,1681.23999,1692.150024,12807400
19/10/2018,1667.910034,1667.910034,1681.920044,1664.089966,1680.119995,14603800
22/10/2018,1658.560059,1658.560059,1674.25,1654.900024,1669.819946,12751300
24/10/2018,1623.369995,1623.369995,1647.900024,1618.819946,1641.609985,18451600
25/10/2018,1644.329956,1644.329956,1645.910034,1596.400024,1605.910034,20309000
26/10/2018,1628.959961,1628.959961,1639.670044,1625.329956,1637.47998,13383500
29/10/2018,1636.880005,1636.880005,1645.97998,1630.72998,1632.26001,11618900
30/10/2018,1638.51001,1638.51001,1645.310059,1633.72998,1638.829956,11270500
31/10/2018,1669.089966,1669.089966,1669.27002,1649.27002,1651.069946,13487200
01/11/2018,1667.550049,1667.550049,1674.869995,1660.109985,1672.140015,15043800
02/11/2018,1681.839966,1681.839966,1687.76001,1672.089966,1675.089966,15333000
05/11/2018,1670.579956,1670.579956,1673.01001,1666.5,1670.459961,9698400
06/11/2018,1669.329956,1669.329956,1684.439941,1669.219971,1677.449951,10605700
07/11/2018,1675.329956,1675.329956,1676.089966,1656.51001,1673.650024,15121700
08/11/2018,1681.72998,1681.72998,1688.900024,1681.25,1685.290039,11756200
09/11/2018,1668.52002,1668.52002,1677.51001,1664.849976,1675.839966,11114300
12/11/2018,1654.849976,1654.849976,1673.420044,1654.800049,1672.849976,10121700
13/11/2018,1659.780029,1659.780029,1664.51001,1642.829956,1645.420044,15353900
14/11/2018,1652.300049,1652.300049,1660.73999,1646.23999,1655.089966,11813600
15/11/2018,1638.829956,1638.829956,1658.02002,1638.670044,1656.599976,12749000
16/11/2018,1635,1635,1646.459961,1632.939941,1640.469971,11409300
19/11/2018,1636.47998,1636.47998,1640.530029,1630.959961,1634.099976,9534600
20/11/2018,1612.030029,1612.030029,1632.22998,1610.180054,1631.810059,11186700
21/11/2018,1617.329956,1617.329956,1622.140015,1598.569946,1603.72998,13554600
22/11/2018,1604.400024,1604.400024,1622.01001,1603,1616.949951,10357000
23/11/2018,1622.099976,1622.099976,1623.01001,1600.630005,1607.109985,11999200
26/11/2018,1630.77002,1630.77002,1631.73999,1616.969971,1621.98999,10545900
27/11/2018,1634.27002,1634.27002,1636.890015,1627.540039,1630.079956,14990400
28/11/2018,1640.630005,1640.630005,1644.27002,1635.369995,1636.589966,9868300
29/11/2018,1636.48999,1636.48999,1650.689941,1635.189941,1646.619995,10439600
30/11/2018,1641.800049,1641.800049,1647.890015,1633.439941,1640.699951,10155200
03/12/2018,1672.609985,1672.609985,1675.430054,1660.050049,1662.150024,12969100
04/12/2018,1672.319946,1672.319946,1677.98999,1669.099976,1674.530029,10596100
06/12/2018,1653.72998,1653.72998,1658.640015,1649.22998,1653.089966,10941800
07/12/2018,1649.98999,1649.98999,1659.449951,1648.329956,1656.109985,10340400
11/12/2018,1633.619995,1633.619995,1647.880005,1633.109985,1646.869995,12195500
12/12/2018,1634.880005,1634.880005,1644.900024,1632.339966,1642.420044,9590300
13/12/2018,1614.98999,1614.98999,1642.199951,1612.910034,1638.959961,12404900
14/12/2018,1609.449951,1609.449951,1620.599976,1602.420044,1613.22998,12610000
17/12/2018,1601.47998,1601.47998,1615.630005,1593.369995,1612.869995,14314000
18/12/2018,1583.189941,1583.189941,1595.319946,1580.579956,1594.099976,11974300
19/12/2018,1601.119995,1601.119995,1601.170044,1578.640015,1582.579956,13695500
20/12/2018,1596.099976,1596.099976,1599.199951,1583.109985,1594.859985,11519700
21/12/2018,1595.329956,1595.329956,1601.579956,1586.349976,1588.98999,12791200
24/12/2018,1591.290039,1591.290039,1599.890015,1588.560059,1589.689941,9808300
25/12/2018,1556.650024,1556.650024,1576.75,1555,1576.400024,11277700
26/12/2018,1556.930054,1556.930054,1562,1548.98999,1556.949951,11266100
27/12/2018,1548.369995,1548.369995,1585.77002,1546.619995,1582.219971,13739900
28/12/2018,1563.880005,1563.880005,1564.02002,1549.699951,1550.869995,10426000
02/01/2019,1565.939941,1565.939941,1575.219971,1563.660034,1567.089966,10194900
03/01/2019,1560.030029,1560.030029,1578.170044,1556.77002,1571.47998,11329500
04/01/2019,1575.130005,1575.130005,1575.130005,1550.219971,1559.630005,13893000
07/01/2019,1592.719971,1592.719971,1596.969971,1582.689941,1584.73999,11990800
08/01/2019,1594,1594,1597.349976,1587.469971,1594.069946,10794000
09/01/2019,1590.5,1590.5,1609.390015,1587.530029,1604.209961,11737800
10/01/2019,1587.630005,1587.630005,1599.099976,1579.199951,1590.069946,14417500
11/01/2019,1597.040039,1597.040039,1597.180054,1586.930054,1591.209961,12091900
14/01/2019,1582.569946,1582.569946,1594.060059,1580.560059,1592.579956,12264700
15/01/2019,1577,1577,1590.150024,1574.369995,1587.170044,12266100
16/01/2019,1577.410034,1577.410034,1582.439941,1565.47998,1581.369995,16491000
17/01/2019,1580.300049,1580.300049,1586.880005,1576.839966,1578.140015,12517900
18/01/2019,1583.77002,1583.77002,1588.75,1577.859985,1585.069946,12078300
21/01/2019,1588.380005,1588.380005,1595.160034,1585.23999,1586.719971,11686000
22/01/2019,1601.77002,1601.77002,1601.800049,1586.189941,1587.819946,12678200
23/01/2019,1617.380005,1617.380005,1620.51001,1600.349976,1601.719971,17194400
24/01/2019,1620.530029,1620.530029,1628.209961,1614.560059,1619.119995,14532200
25/01/2019,1623.619995,1623.619995,1628.619995,1617.780029,1625.589966,13251300
28/01/2019,1625.030029,1625.030029,1634.699951,1622.579956,1627.709961,12346700
29/01/2019,1624.050049,1624.050049,1625.359985,1616.449951,1623,12733800
30/01/2019,1632.599976,1632.599976,1632.829956,1622.589966,1626.550049,11903500
31/01/2019,1641.72998,1641.72998,1649.849976,1639.900024,1640.339966,13667900
01/02/2019,1651.400024,1651.400024,1655.339966,1642.23999,1644.609985,12020800
04/02/2019,1653.619995,1653.619995,1659.26001,1652.140015,1655.420044,9646200
05/02/2019,1653.089966,1653.089966,1654.97998,1645.569946,1653.530029,8180900
06/02/2019,1658.709961,1658.709961,1663.48999,1653,1655.140015,11172100
07/02/2019,1653.109985,1653.109985,1667.01001,1649.5,1659.939941,14228900
08/02/2019,1651.680054,1651.680054,1657.579956,1637.579956,1647.630005,17336800
11/02/2019,1638,1638,1647.48999,1632.819946,1644.75,13052400
12/02/2019,1642.48999,1642.48999,1645.630005,1635.540039,1637.47998,10872000
13/02/2019,1655.72998,1655.72998,1657.119995,1645.839966,1649.089966,13093000
14/02/2019,1652.640015,1652.640015,1659.52002,1650.130005,1658.410034,12783200
15/02/2019,1636.939941,1636.939941,1652.060059,1634.869995,1651.099976,14856000
18/02/2019,1635.709961,1635.709961,1647.73999,1635.709961,1644.98999,10598900
20/02/2019,1645.380005,1645.380005,1647.209961,1636.119995,1639.160034,12474200
21/02/2019,1647.319946,1647.319946,1651.800049,1642.48999,1646.959961,11948000
22/02/2019,1659.199951,1659.199951,1661.089966,1644.51001,1645.329956,13635100
25/02/2019,1671.75,1671.75,1674.540039,1664.920044,1665.300049,14260400
26/02/2019,1663.560059,1663.560059,1670.77002,1662.810059,1665.890015,14778700
27/02/2019,1665.27002,1665.27002,1668.609985,1659.619995,1663.920044,14815800
28/02/2019,1653.47998,1653.47998,1666.73999,1652.709961,1666.329956,14365700
01/03/2019,1641.439941,1641.439941,1656.640015,1640.569946,1655.27002,15181700
04/03/2019,1635.300049,1635.300049,1643.530029,1632.829956,1641.319946,16037000
05/03/2019,1639,1639,1641.560059,1629.550049,1633.51001,12923500
06/03/2019,1625.51001,1625.51001,1639.420044,1624.680054,1636.680054,14347400
07/03/2019,1633.209961,1633.209961,1635.77002,1623.319946,1624.76001,12829400
08/03/2019,1630.119995,1630.119995,1637.459961,1626.329956,1631.689941,12502900
11/03/2019,1627.430054,1627.430054,1636.199951,1625.060059,1633.449951,10917500
12/03/2019,1627.589966,1627.589966,1633.969971,1624.550049,1631.880005,12350600
13/03/2019,1639.670044,1639.670044,1639.689941,1623.75,1626.420044,12899900
14/03/2019,1635.880005,1635.880005,1643.560059,1634.699951,1642.359985,12728300
15/03/2019,1625.569946,1625.569946,1639.099976,1625.410034,1636.819946,13571900
18/03/2019,1617.569946,1617.569946,1630.449951,1612.849976,1628.849976,13555000
19/03/2019,1630.089966,1630.089966,1633.26001,1617.01001,1617.869995,13414700
20/03/2019,1627.619995,1627.619995,1635.420044,1626.969971,1631.439941,12315000
21/03/2019,1634,1634,1640.040039,1631.410034,1631.790039,12442100
22/03/2019,1646.290039,1646.290039,1646.939941,1633.670044,1636.689941,13681800
25/03/2019,1625.910034,1625.910034,1636.930054,1617.890015,1632.030029,13722700
26/03/2019,1632.319946,1632.319946,1634.189941,1622.939941,1626.890015,13043300
27/03/2019,1629.400024,1629.400024,1635.430054,1624.26001,1632.27002,14081000
28/03/2019,1634.25,1634.25,1637.599976,1625.77002,1626.599976,15464800
29/03/2019,1638.650024,1638.650024,1644.27002,1635.23999,1639.310059,11081100
01/04/2019,1644.640015,1644.640015,1651.140015,1644.219971,1645.369995,11050600
02/04/2019,1651.47998,1651.47998,1655.089966,1647.930054,1650.540039,10505500
03/04/2019,1649.060059,1649.060059,1654.02002,1646.01001,1653.079956,14500200
04/04/2019,1644.219971,1644.219971,1650.75,1640.01001,1649.390015,9786700
05/04/2019,1646.180054,1646.180054,1649.98999,1643.130005,1646.030029,8162700
09/04/2019,1657.73999,1657.73999,1660.310059,1648.22998,1650.550049,11018200
10/04/2019,1662.130005,1662.130005,1664.680054,1658.26001,1659.290039,9974900
11/04/2019,1659.089966,1659.089966,1662.530029,1656.329956,1661.569946,9339500
12/04/2019,1660.449951,1660.449951,1662.599976,1654.459961,1658,9076700
17/04/2019,1673.199951,1673.199951,1676,1664.040039,1665.680054,12408000
18/04/2019,1675,1675,1677.140015,1667.699951,1674.73999,10629000
19/04/2019,1674.099976,1674.099976,1679.75,1671.829956,1675.369995,9115400
